symbol	annotation_id	organism
A1BG	GO:0003674	9606
A2M	GO:0002020	9606
A2M	GO:0004866	9606
A2M	GO:0004867	9606
A2M	GO:0005102	9606
A2M	GO:0005515	9606
A2M	GO:0019838	9606
A2M	GO:0019899	9606
A2M	GO:0019959	9606
A2M	GO:0019966	9606
A2M	GO:0043120	9606
A2M	GO:0048306	9606
A2M	GO:0030414	9606
NAT1	GO:0004060	9606
NAT1	GO:0016746	9606
NAT1	GO:0016740	9606
NAT1	GO:0016407	9606
NAT2	GO:0004060	9606
NAT2	GO:0005515	9606
NAT2	GO:0016746	9606
NAT2	GO:0016740	9606
NAT2	GO:0016407	9606
SERPINA3	GO:0003677	9606
SERPINA3	GO:0004867	9606
SERPINA3	GO:0005515	9606
SERPINA3	GO:0030414	9606
AADAC	GO:0003824	9606
AADAC	GO:0004806	9606
AADAC	GO:0005515	9606
AADAC	GO:0016298	9606
AADAC	GO:0016787	9606
AADAC	GO:0017171	9606
AADAC	GO:0019213	9606
AADAC	GO:0052689	9606
AAMP	GO:0005515	9606
AAMP	GO:0008201	9606
AANAT	GO:0004059	9606
AANAT	GO:0004060	9606
AANAT	GO:0005515	9606
AANAT	GO:0071889	9606
AANAT	GO:0016746	9606
AANAT	GO:0016740	9606
AANAT	GO:0008080	9606
AARS1	GO:0000049	9606
AARS1	GO:0002161	9606
AARS1	GO:0002196	9606
AARS1	GO:0004813	9606
AARS1	GO:0005524	9606
AARS1	GO:0008270	9606
AARS1	GO:0016597	9606
AARS1	GO:0045182	9606
AARS1	GO:0046872	9606
AARS1	GO:0016874	9606
AARS1	GO:0003723	9606
AARS1	GO:0000166	9606
AARS1	GO:0004812	9606
AARS1	GO:0003676	9606
ABAT	GO:0003867	9606
ABAT	GO:0030170	9606
ABAT	GO:0032145	9606
ABAT	GO:0034386	9606
ABAT	GO:0042802	9606
ABAT	GO:0046872	9606
ABAT	GO:0047298	9606
ABAT	GO:0051536	9606
ABAT	GO:0016740	9606
ABAT	GO:0008483	9606
ABAT	GO:0003824	9606
ABCA1	GO:0005102	9606
ABCA1	GO:0005319	9606
ABCA1	GO:0005515	9606
ABCA1	GO:0005524	9606
ABCA1	GO:0005548	9606
ABCA1	GO:0008035	9606
ABCA1	GO:0008320	9606
ABCA1	GO:0015485	9606
ABCA1	GO:0019905	9606
ABCA1	GO:0031210	9606
ABCA1	GO:0031267	9606
ABCA1	GO:0034185	9606
ABCA1	GO:0034186	9606
ABCA1	GO:0034188	9606
ABCA1	GO:0042626	9606
ABCA1	GO:0046623	9606
ABCA1	GO:0051117	9606
ABCA1	GO:0090554	9606
ABCA1	GO:0090556	9606
ABCA1	GO:0120020	9606
ABCA1	GO:0140328	9606
ABCA1	GO:0140359	9606
ABCA1	GO:0000166	9606
ABCA1	GO:0140326	9606
ABCA2	GO:0000166	9606
ABCA2	GO:0005319	9606
ABCA2	GO:0005524	9606
ABCA2	GO:0042626	9606
ABCA2	GO:0061135	9606
ABCA2	GO:0099038	9606
ABCA2	GO:0140359	9606
ABCA3	GO:0005319	9606
ABCA3	GO:0005524	9606
ABCA3	GO:0008559	9606
ABCA3	GO:0016887	9606
ABCA3	GO:0042626	9606
ABCA3	GO:0120019	9606
ABCA3	GO:0140345	9606
ABCA3	GO:0140326	9606
ABCA3	GO:0000166	9606
ABCA3	GO:0140359	9606
ABCB7	GO:0005515	9606
ABCB7	GO:0005524	9606
ABCB7	GO:0015232	9606
ABCB7	GO:0042626	9606
ABCB7	GO:0042803	9606
ABCB7	GO:0140481	9606
