symbol	annotation_id	organism
RNF8	WP5119	9606
RNF8	WP4906	9606
RNF8	WP3878	9606
RNF8	WP3959	9606
NIPBL	WP5119	9606
NIPBL	WP5117	9606
MDC1	WP5119	9606
MDC1	WP3878	9606
MDC1	WP3959	9606
MDC1	WP5118	9606
MDC1	WP2516	9606
MDC1	WP4016	9606
ATR	WP5119	9606
ATR	WP3875	9606
ATR	WP3878	9606
ATR	WP707	9606
ATR	WP4262	9606
ATR	WP3959	9606
ATR	WP179	9606
ATR	WP1971	9606
ATR	WP1984	9606
ATR	WP1530	9606
ATR	WP4946	9606
ATR	WP4016	9606
H2AX	WP5119	9606
H2AX	WP4932	9606
H2AX	WP3878	9606
H2AX	WP183	9606
H2AX	WP707	9606
H2AX	WP4553	9606
H2AX	WP3959	9606
H2AX	WP2516	9606
H2AX	WP1545	9606
H2AX	WP1530	9606
H2AX	WP4946	9606
H2AX	WP4016	9606
CBX3	WP5119	9606
CBX3	WP410	9606
CBX3	WP4320	9606
ATM	WP5119	9606
ATM	WP3982	9606
ATM	WP4673	9606
ATM	WP3657	9606
ATM	WP3878	9606
ATM	WP1742	9606
ATM	WP45	9606
ATM	WP707	9606
ATM	WP4262	9606
ATM	WP186	9606
ATM	WP3959	9606
ATM	WP179	9606
ATM	WP2261	9606
ATM	WP4656	9606
ATM	WP5118	9606
ATM	WP5087	9606
ATM	WP34	9606
ATM	WP2516	9606
ATM	WP1971	9606
ATM	WP1984	9606
ATM	WP710	9606
ATM	WP3651	9606
ATM	WP2942	9606
ATM	WP1545	9606
ATM	WP1530	9606
ATM	WP4946	9606
ATM	WP4016	9606
RNF168	WP5119	9606
RNF168	WP4906	9606
RNF168	WP3878	9606
KRTAP3-3	WP2840	9606
S100A4	WP2840	9606
S100A4	WP2877	9606
KITLG	WP2840	9606
KITLG	WP2848	9606
KITLG	WP3932	9606
KITLG	WP5087	9606
KITLG	WP4331	9606
KITLG	WP2849	9606
KITLG	WP4754	9606
KITLG	WP4172	9606
KITLG	WP304	9606
SPINK6	WP2840	9606
KRT19	WP2840	9606
KRT19	WP4970	9606
NFATC1	WP2840	9606
NFATC1	WP4585	9606
NFATC1	WP4666	9606
NFATC1	WP1591	9606
NFATC1	WP69	9606
NFATC1	WP2858	9606
NFATC1	WP4482	9606
NFATC1	WP428	9606
NFATC1	WP382	9606
NFATC1	WP3414	9606
NFATC1	WP2018	9606
NFATC1	WP3888	9606
NFATC1	WP5098	9606
KLK4	WP2840	9606
FOXN1	WP2840	9606
FOS	WP2840	9606
FOS	WP4685	9606
FOS	WP289	9606
FOS	WP3972	9606
FOS	WP3863	9606
FOS	WP2526	9606
FOS	WP2374	9606
FOS	WP4970	9606
FOS	WP4666	9606
FOS	WP4880	9606
FOS	WP4564	9606
FOS	WP1449	9606
FOS	WP712	9606
FOS	WP3611	9606
FOS	WP3944	9606
FOS	WP2032	9606
FOS	WP4262	9606
FOS	WP2637	9606
FOS	WP366	9606
FOS	WP2380	9606
FOS	WP2037	9606
FOS	WP2431	9606
FOS	WP4928	9606
FOS	WP69	9606
FOS	WP5094	9606
FOS	WP127	9606
FOS	WP3591	9606
FOS	WP3947	9606
FOS	WP408	9606
FOS	WP1528	9606
FOS	WP49	9606
FOS	WP1772	9606
FOS	WP4216	9606
FOS	WP4155	9606
FOS	WP2849	9606
FOS	WP382	9606
FOS	WP4754	9606
FOS	WP395	9606
FOS	WP4659	9606
FOS	WP4816	9606
FOS	WP5115	9606
FOS	WP4919	9606
FOS	WP2355	9606
FOS	WP5083	9606
FOS	WP286	9606
FOS	WP313	9606
FOS	WP437	9606
FOS	WP481	9606
FOS	WP2018	9606
FOS	WP3931	9606
FOS	WP3612	9606
FOS	WP560	9606
FOS	WP304	9606
FOS	WP75	9606
FOS	WP5098	9606
FOS	WP4877	9606
FOS	WP4565	9606
KRTAP8-1	WP2840	9606
KRTAP8-1	WP2877	9606
TGFB1	WP2840	9606
TGFB1	WP2795	9606
TGFB1	WP2873	9606
TGFB1	WP5088	9606
TGFB1	WP5095	9606
TGFB1	WP2882	9606
TGFB1	WP5103	9606
TGFB1	WP5090	9606
TGFB1	WP4484	9606
TGFB1	WP2328	9606
TGFB1	WP530	9606
TGFB1	WP3859	9606
TGFB1	WP236	9606
TGFB1	WP4666	9606
TGFB1	WP4298	9606
TGFB1	WP2853	9606
TGFB1	WP2813	9606
TGFB1	WP4241	9606
TGFB1	WP5036	9606
TGFB1	WP4906	9606
TGFB1	WP4018	9606
TGFB1	WP615	9606
TGFB1	WP2406	9606
TGFB1	WP366	9606
TGFB1	WP2848	9606
TGFB1	WP4535	9606
TGFB1	WP2431	9606
TGFB1	WP2855	9606
TGFB1	WP69	9606
TGFB1	WP2870	9606
TGFB1	WP4559	9606
TGFB1	WP3874	9606
TGFB1	WP1544	9606
TGFB1	WP179	9606
TGFB1	WP4879	9606
TGFB1	WP4494	9606
TGFB1	WP4396	9606
TGFB1	WP1559	9606
TGFB1	WP554	9606
TGFB1	WP5087	9606
TGFB1	WP2884	9606
TGFB1	WP4263	9606
TGFB1	WP4331	9606
TGFB1	WP3624	9606
TGFB1	WP4216	9606
TGFB1	WP382	9606
TGFB1	WP3670	9606
TGFB1	WP4816	9606
TGFB1	WP2355	9606
TGFB1	WP5055	9606
TGFB1	WP5083	9606
TGFB1	WP710	9606
TGFB1	WP286	9606
TGFB1	WP4239	9606
TGFB1	WP560	9606
TGFB1	WP4496	9606
TGFB1	WP4838	9606
TGFB1	WP4808	9606
TGFB1	WP474	9606
TGFB1	WP5039	9606
TGFB1	WP2332	9606
TGFB1	WP2572	9606
TGFB1	WP3646	9606
TGFB1	WP4462	9606
TGFB1	WP2877	9606
MIR6510	WP2840	9606
RBPJ	WP2840	9606
RBPJ	WP3845	9606
RBPJ	WP4147	9606
RBPJ	WP61	9606
RBPJ	WP268	9606
RBPJ	WP4787	9606
RBPJ	WP2064	9606
RBPJ	WP4239	9606
GATA3	WP2840	9606
GATA3	WP5102	9606
GATA3	WP236	9606
GATA3	WP61	9606
GATA3	WP3893	9606
GATA3	WP3527	9606
GATA3	WP4149	9606
GATA3	WP69	9606
GATA3	WP5053	9606
GATA3	WP4830	9606
GATA3	WP395	9606
GATA3	WP2857	9606
GATA3	WP4211	9606
GATA3	WP706	9606
DKK4	WP2840	9606
DKK4	WP4336	9606
DKK4	WP4258	9606
DKK4	WP2870	9606
DKK4	WP2059	9606
DKK4	WP428	9606
DKK4	WP5124	9606
DKK4	WP3930	9606
FOXE1	WP2840	9606
FOXE1	WP5055	9606
IGF1	WP2840	9606
IGF1	WP2795	9606
IGF1	WP4304	9606
IGF1	WP236	9606
IGF1	WP615	9606
IGF1	WP2406	9606
IGF1	WP1992	9606
IGF1	WP4262	9606
IGF1	WP2848	9606
IGF1	WP3932	9606
IGF1	WP4300	9606
IGF1	WP1544	9606
IGF1	WP4806	9606
IGF1	WP5087	9606
IGF1	WP3624	9606
IGF1	WP254	9606
IGF1	WP5083	9606
IGF1	WP3584	9606
IGF1	WP4191	9606
IGF1	WP4172	9606
IGF1	WP306	9606
IGF1	WP4808	9606
IGF1	WP474	9606
IGF1	WP3850	9606
CTNNB1	WP2840	9606
CTNNB1	WP4336	9606
CTNNB1	WP4258	9606
CTNNB1	WP4872	9606
CTNNB1	WP4823	9606
CTNNB1	WP3664	9606
CTNNB1	WP3658	9606
CTNNB1	WP3680	9606
CTNNB1	WP4541	9606
CTNNB1	WP4932	9606
CTNNB1	WP236	9606
CTNNB1	WP4147	9606
CTNNB1	WP1591	9606
CTNNB1	WP2853	9606
CTNNB1	WP4844	9606
CTNNB1	WP2036	9606
CTNNB1	WP138	9606
CTNNB1	WP4842	9606
CTNNB1	WP363	9606
CTNNB1	WP4262	9606
CTNNB1	WP4905	9606
CTNNB1	WP4540	9606
CTNNB1	WP2380	9606
CTNNB1	WP4352	9606
CTNNB1	WP2870	9606
CTNNB1	WP1544	9606
CTNNB1	WP2059	9606
CTNNB1	WP4879	9606
CTNNB1	WP5053	9606
CTNNB1	WP4746	9606
CTNNB1	WP4150	9606
CTNNB1	WP2858	9606
CTNNB1	WP428	9606
CTNNB1	WP4830	9606
CTNNB1	WP5087	9606
CTNNB1	WP3969	9606
CTNNB1	WP2272	9606
CTNNB1	WP5124	9606
CTNNB1	WP4216	9606
CTNNB1	WP4155	9606
CTNNB1	WP4754	9606
CTNNB1	WP4787	9606
CTNNB1	WP3981	9606
CTNNB1	WP4659	9606
CTNNB1	WP4816	9606
CTNNB1	WP2355	9606
CTNNB1	WP399	9606
CTNNB1	WP1984	9606
CTNNB1	WP710	9606
CTNNB1	WP2064	9606
CTNNB1	WP4239	9606
CTNNB1	WP3876	9606
CTNNB1	WP2363	9606
CTNNB1	WP3888	9606
CTNNB1	WP3931	9606
CTNNB1	WP560	9606
CTNNB1	WP2839	9606
CTNNB1	WP306	9606
CTNNB1	WP2118	9606
CTNNB1	WP4674	9606
CTNNB1	WP3303	9606
CTNNB1	WP2572	9606
CTNNB1	WP706	9606
CTNNB1	WP4534	9606
CTNNB1	WP3971	9606
DKK3	WP2840	9606
DKK3	WP3664	9606
GTPBP4	WP2840	9606
GTPBP4	WP2839	9606
NR3C1	WP2840	9606
NR3C1	WP2882	9606
NR3C1	WP4949	9606
NR3C1	WP236	9606
NR3C1	WP2853	9606
NR3C1	WP4149	9606
NR3C1	WP170	9606
NR3C1	WP3599	9606
NR3C1	WP4482	9606
NR3C1	WP2817	9606
