annotation_id	typeOfAnalysis	p_times	ranking
GO:0006357	TFs_Hypergeom	0.995	2.0
GO:0006355	TFs_Hypergeom	0.999	3.0
GO:0045944	TFs_Hypergeom	0.99	4.0
GO:0045944	Target_Hypergeom	0.961	9.0
GO:0045893	Target_Hypergeom	0.991	9.0
GO:0000122	Target_Hypergeom	0.983	10.0
GO:0045893	TFs_Hypergeom	0.806	23.0
GO:0010628	Target_Hypergeom	0.882	29.0
GO:0000122	TFs_Hypergeom	0.808	34.0
GO:0008284	Target_Hypergeom	0.799	36.0
GO:0043066	Target_Hypergeom	0.824	36.0
GO:0045892	Target_Hypergeom	0.928	37.0
GO:0008285	Target_Hypergeom	0.839	44.0
GO:1902895	Target_Hypergeom	0.794	47.0
GO:0051726	Target_Hypergeom	0.794	60.5
GO:0030335	Target_Hypergeom	0.826	69.5
GO:0014070	Target_Hypergeom	0.76	71.0
GO:0042127	Target_Hypergeom	0.812	71.0
GO:0045892	TFs_Hypergeom	0.415	80.0
GO:0030154	TFs_Hypergeom	0.507	80.0
GO:0010629	Target_Hypergeom	0.772	85.0
GO:0001666	Target_Hypergeom	0.761	88.5
GO:0010628	TFs_Hypergeom	0.295	94.0
GO:0071456	Target_Hypergeom	0.759	100.5
GO:0006357	Target_Hypergeom	0.844	106.0
GO:0032355	Target_Hypergeom	0.755	107.0
GO:0001934	Target_Hypergeom	0.767	113.0
GO:0010033	Target_Hypergeom	0.683	114.5
GO:0006355	Target_Hypergeom	0.805	127.0
GO:0006468	Target_Hypergeom	0.837	139.5
GO:0048661	Target_Hypergeom	0.648	149.5
GO:0043065	Target_Hypergeom	0.68	150.5
GO:0006915	Target_Hypergeom	0.693	155.5
GO:0001525	Target_Hypergeom	0.707	162.5
GO:0042060	Target_Hypergeom	0.724	178.0
GO:0016310	Target_Hypergeom	0.763	184.5
GO:0008285	TFs_Hypergeom	0.143	207.0
GO:0045766	Target_Hypergeom	0.674	207.75
GO:0007568	Target_Hypergeom	0.668	215.0
GO:0048146	Target_Hypergeom	0.656	233.25
GO:0034097	Target_Hypergeom	0.633	241.75
GO:0051384	Target_Hypergeom	0.634	247.75
GO:0030154	Target_Hypergeom	0.74	252.0
GO:0032496	Target_Hypergeom	0.619	262.0
GO:0010468	Target_Hypergeom	0.682	289.0
GO:0014068	Target_Hypergeom	0.639	290.5
GO:0035556	Target_Hypergeom	0.702	301.5
GO:0045471	Target_Hypergeom	0.611	322.5
GO:0030308	Target_Hypergeom	0.626	324.75
GO:0050731	Target_Hypergeom	0.628	326.0
GO:0007179	Target_Hypergeom	0.646	336.0
GO:0030890	Target_Hypergeom	0.662	338.5
GO:0007507	Target_Hypergeom	0.62	352.5
GO:0043410	Target_Hypergeom	0.617	353.0
GO:0042542	Target_Hypergeom	0.617	359.25
GO:0009636	Target_Hypergeom	0.594	363.5
GO:0051412	Target_Hypergeom	0.596	372.75
GO:0051091	Target_Hypergeom	0.609	375.5
GO:0001889	Target_Hypergeom	0.652	377.0
GO:0010243	Target_Hypergeom	0.693	380.0
GO:0090399	Target_Hypergeom	0.572	390.75
GO:0010165	Target_Hypergeom	0.575	394.5
GO:0042531	Target_Hypergeom	0.574	412.25
GO:0016477	Target_Hypergeom	0.617	423.0
GO:0045429	Target_Hypergeom	0.589	430.5
GO:0071222	Target_Hypergeom	0.563	433.75
GO:0001701	Target_Hypergeom	0.606	443.0
GO:0043627	Target_Hypergeom	0.571	443.75
GO:0009612	Target_Hypergeom	0.577	449.5
GO:0043547	Target_Hypergeom	0.601	457.5
GO:0007165	Target_Hypergeom	0.551	472.5
GO:0033138	Target_Hypergeom	0.572	472.5
GO:0045930	Target_Hypergeom	0.563	477.75
GO:0030183	Target_Hypergeom	0.619	479.0
GO:0009314	Target_Hypergeom	0.582	481.75
GO:0008584	Target_Hypergeom	0.555	483.5
GO:2001240	Target_Hypergeom	0.578	487.0
GO:0070141	Target_Hypergeom	0.667	489.0
GO:0031668	Target_Hypergeom	0.573	490.0
GO:0050790	Target_Hypergeom	0.602	492.5
GO:0007623	Target_Hypergeom	0.548	503.25
GO:0097192	Target_Hypergeom	0.552	505.0
GO:0051897	Target_Hypergeom	0.549	510.0
GO:0031100	Target_Hypergeom	0.567	519.75
GO:0071310	Target_Hypergeom	0.571	529.25
GO:0071260	Target_Hypergeom	0.545	530.25
GO:0018108	Target_Hypergeom	0.576	546.25
GO:0045737	Target_Hypergeom	0.561	549.0
GO:0030522	Target_Hypergeom	0.55	559.0
GO:0007569	Target_Hypergeom	0.545	563.0
GO:0043524	Target_Hypergeom	0.531	570.75
GO:0048545	Target_Hypergeom	0.566	575.0
GO:0043406	Target_Hypergeom	0.526	576.5
GO:0097421	Target_Hypergeom	0.543	582.5
GO:0006954	Target_Hypergeom	0.52	590.5
GO:0098609	Target_Hypergeom	0.563	599.5
GO:0000165	Target_Hypergeom	0.523	611.5
GO:0010595	Target_Hypergeom	0.527	617.25
GO:0030097	Target_Hypergeom	0.57	618.5
GO:0006979	Target_Hypergeom	0.508	631.5
GO:0010332	Target_Hypergeom	0.523	636.25
GO:0008283	Target_Hypergeom	0.542	640.25
GO:1901216	Target_Hypergeom	0.499	654.5
GO:0032869	Target_Hypergeom	0.515	666.0
GO:0070374	Target_Hypergeom	0.514	666.0
GO:0071560	Target_Hypergeom	0.528	667.0
GO:0007169	Target_Hypergeom	0.519	669.0
GO:0043525	Target_Hypergeom	0.501	670.0
GO:0070059	Target_Hypergeom	0.514	674.25
GO:0000079	Target_Hypergeom	0.511	680.0
GO:1903799	Target_Hypergeom	0.474	680.5
GO:0007399	Target_Hypergeom	0.551	680.5
GO:0061419	Target_Hypergeom	0.495	686.25
GO:0071356	Target_Hypergeom	0.507	686.5
GO:0051591	Target_Hypergeom	0.504	687.5
GO:0046777	Target_Hypergeom	0.517	688.0
GO:0007155	Target_Hypergeom	0.507	688.5
GO:0071276	Target_Hypergeom	0.514	689.5
GO:0034614	Target_Hypergeom	0.5	692.0
GO:0002326	Target_Hypergeom	0.501	695.5
GO:2000379	Target_Hypergeom	0.502	702.5
GO:0051056	Target_Hypergeom	0.503	710.0
GO:0006338	Target_Hypergeom	0.519	711.5
GO:1900087	Target_Hypergeom	0.528	716.75
GO:1903078	Target_Hypergeom	0.497	720.25
GO:0043536	Target_Hypergeom	0.497	722.0
GO:0008630	Target_Hypergeom	0.473	722.75
GO:0006974	Target_Hypergeom	0.512	723.0
GO:0060749	Target_Hypergeom	0.505	727.25
GO:1904707	Target_Hypergeom	0.488	727.75
GO:0000082	Target_Hypergeom	0.491	731.75
GO:0072331	Target_Hypergeom	0.488	736.75
GO:0007275	Target_Hypergeom	0.5	739.0
GO:0051092	Target_Hypergeom	0.485	739.75
GO:0045599	Target_Hypergeom	0.492	748.75
GO:0043154	Target_Hypergeom	0.487	750.75
GO:0048010	Target_Hypergeom	0.523	757.5
GO:0008360	Target_Hypergeom	0.507	757.75
GO:0050729	Target_Hypergeom	0.487	761.5
GO:2000811	Target_Hypergeom	0.505	768.0
GO:0071407	Target_Hypergeom	0.473	776.5
GO:0032760	Target_Hypergeom	0.483	784.5
GO:0014823	Target_Hypergeom	0.454	788.0
GO:0001836	Target_Hypergeom	0.5	789.75
GO:0071498	Target_Hypergeom	0.472	796.25
GO:0070301	Target_Hypergeom	0.46	801.0
GO:0042981	Target_Hypergeom	0.458	809.0
GO:0007265	Target_Hypergeom	0.479	810.75
GO:0009611	Target_Hypergeom	0.464	810.75
GO:0030217	Target_Hypergeom	0.466	817.0
GO:0007595	Target_Hypergeom	0.468	822.0
GO:0007584	Target_Hypergeom	0.467	822.25
GO:0090096	Target_Hypergeom	0.589	826.25
GO:2000573	Target_Hypergeom	0.469	832.25
GO:0030324	Target_Hypergeom	0.473	835.75
GO:0045944	Target_NonCentral	0.293	836.0
GO:1904706	Target_Hypergeom	0.442	846.0
GO:0007155	Target_NonCentral	0.252	855.0
GO:0071364	Target_Hypergeom	0.452	857.25
GO:0045666	Target_Hypergeom	0.476	863.0
GO:0001658	Target_Hypergeom	0.444	864.75
GO:1905179	Target_Hypergeom	0.56	864.75
GO:0042307	Target_Hypergeom	0.456	873.25
GO:0045785	Target_Hypergeom	0.452	876.5
GO:0050679	Target_Hypergeom	0.436	878.5
GO:0010718	Target_Hypergeom	0.455	883.75
GO:0010039	Target_Hypergeom	0.46	884.0
GO:0007229	Target_Hypergeom	0.444	885.5
GO:0050900	Target_Hypergeom	0.487	892.0
GO:0044321	Target_Hypergeom	0.369	892.75
GO:0060574	Target_Hypergeom	0.486	893.75
GO:0031334	Target_Hypergeom	0.432	905.75
GO:0048870	Target_Hypergeom	0.457	908.5
GO:0048511	Target_Hypergeom	0.429	911.25
GO:0033674	Target_Hypergeom	0.454	916.75
GO:0010942	Target_Hypergeom	0.451	924.75
GO:0035994	Target_Hypergeom	0.44	925.75
GO:0018105	Target_Hypergeom	0.433	927.0
GO:0071363	Target_Hypergeom	0.444	929.5
GO:0060252	Target_Hypergeom	0.448	930.5
GO:0034644	Target_Hypergeom	0.431	931.5
GO:0120162	Target_Hypergeom	0.424	932.25
GO:0048844	Target_Hypergeom	0.491	932.5
GO:0032570	Target_Hypergeom	0.442	934.75
GO:0006959	Target_Hypergeom	0.429	935.25
GO:0009615	Target_Hypergeom	0.451	941.5
GO:0033993	Target_Hypergeom	0.457	944.75
GO:0022898	Target_Hypergeom	0.318	946.5
GO:0031571	Target_Hypergeom	0.406	950.25
GO:0060395	Target_Hypergeom	0.426	951.75
GO:0030307	Target_Hypergeom	0.409	952.5
GO:1902042	Target_Hypergeom	0.477	954.5
GO:0071549	Target_Hypergeom	0.469	956.75
GO:0001503	Target_Hypergeom	0.425	963.0
GO:0046718	Target_Hypergeom	0.424	964.5
GO:0010507	Target_Hypergeom	0.404	965.0
GO:0002360	Target_Hypergeom	0.403	965.5
GO:0071375	Target_Hypergeom	0.468	966.25
GO:2000352	Target_Hypergeom	0.452	966.75
GO:0000086	Target_Hypergeom	0.429	968.25
GO:0007010	Target_Hypergeom	0.431	969.0
GO:0051000	Target_Hypergeom	0.455	970.5
GO:0045444	Target_Hypergeom	0.424	971.75
GO:0030224	Target_Hypergeom	0.423	974.25
GO:0001657	Target_Hypergeom	0.443	974.5
GO:0055093	Target_Hypergeom	0.411	983.0
GO:1902894	Target_Hypergeom	0.436	983.0
GO:0006978	Target_Hypergeom	0.422	987.75
GO:0007420	Target_NonCentral	0.142	995.0
GO:0016477	Target_NonCentral	0.151	995.0
GO:0002520	Target_Hypergeom	0.421	996.5
GO:0050727	Target_Hypergeom	0.406	997.5
GO:0007049	Target_Hypergeom	0.401	998.0
GO:0043433	Target_Hypergeom	0.401	1007.75
GO:1904646	Target_Hypergeom	0.406	1008.75
GO:0065003	Target_Hypergeom	0.388	1009.5
GO:0034605	Target_Hypergeom	0.405	1011.5
GO:0030225	Target_Hypergeom	0.465	1012.0
GO:0042327	Target_Hypergeom	0.439	1013.5
GO:0030154	Target_NonCentral	0.181	1014.5
GO:0001541	Target_Hypergeom	0.433	1015.0
GO:0070371	Target_Hypergeom	0.443	1015.5
GO:0007565	Target_Hypergeom	0.391	1016.5
GO:0002931	Target_Hypergeom	0.396	1018.25
GO:0035264	Target_Hypergeom	0.402	1019.5
GO:0000122	Target_NonCentral	0.201	1022.5
GO:0009887	Target_Hypergeom	0.399	1023.5
GO:0006919	Target_Hypergeom	0.399	1028.0
GO:0035556	Target_NonCentral	0.139	1029.0
GO:0045860	Target_Hypergeom	0.391	1034.75
GO:0006977	Target_Hypergeom	0.446	1035.5
GO:0048662	Target_Hypergeom	0.429	1036.75
GO:0042771	Target_Hypergeom	0.444	1037.0
GO:1905643	Target_Hypergeom	0.459	1037.0
GO:1903800	Target_Hypergeom	0.372	1048.0
GO:2000134	Target_Hypergeom	0.382	1052.5
GO:0001822	Target_Hypergeom	0.392	1053.25
GO:0043123	Target_Hypergeom	0.393	1060.0
GO:0070848	Target_Hypergeom	0.386	1060.25
GO:0010224	Target_Hypergeom	0.311	1063.0
GO:0032731	Target_Hypergeom	0.383	1063.25
GO:2001237	Target_Hypergeom	0.38	1063.5
GO:0007346	Target_Hypergeom	0.402	1068.25
GO:0033598	Target_Hypergeom	0.229	1073.0
GO:0007015	Target_Hypergeom	0.378	1076.25
GO:0051402	Target_Hypergeom	0.404	1076.75
GO:0035924	Target_Hypergeom	0.42	1077.75
GO:1902219	Target_Hypergeom	0.389	1080.5
GO:0016310	Target_NonCentral	0.131	1082.5
GO:0043388	Target_Hypergeom	0.422	1082.75
GO:0048589	Target_Hypergeom	0.437	1086.0
GO:0030325	Target_Hypergeom	0.383	1089.75
GO:0008203	Target_Hypergeom	0.417	1091.0
GO:0035633	Target_Hypergeom	0.42	1095.5
GO:0032743	Target_Hypergeom	0.397	1097.75
GO:0045787	Target_Hypergeom	0.387	1100.25
GO:0001570	Target_Hypergeom	0.368	1101.75
GO:0033209	Target_Hypergeom	0.372	1108.5
GO:0050728	Target_Hypergeom	0.385	1109.0
GO:0001501	Target_Hypergeom	0.401	1110.75
GO:0046427	Target_Hypergeom	0.42	1111.75
GO:0006955	Target_Hypergeom	0.417	1112.5
GO:0010971	Target_Hypergeom	0.412	1115.0
GO:0043280	Target_Hypergeom	0.377	1116.0
GO:0045736	Target_Hypergeom	0.421	1117.25
GO:0042593	Target_Hypergeom	0.361	1118.0
GO:0097191	Target_Hypergeom	0.369	1120.5
GO:0032986	Target_Hypergeom	0.553	1122.25
GO:0032873	Target_Hypergeom	0.24	1122.5
GO:0071480	Target_Hypergeom	0.408	1122.75
GO:0032755	Target_Hypergeom	0.383	1124.5
GO:0050790	Target_NonCentral	0.148	1124.5
GO:0043491	Target_Hypergeom	0.395	1126.5
GO:0045893	Target_NonCentral	0.138	1127.0
GO:0014065	Target_Hypergeom	0.374	1132.0
GO:0071320	Target_Hypergeom	0.37	1132.0
GO:0002062	Target_Hypergeom	0.354	1134.0
GO:2001243	Target_Hypergeom	0.412	1135.25
GO:0009725	Target_Hypergeom	0.35	1136.5
GO:0035902	Target_Hypergeom	0.386	1141.25
GO:0007264	Target_Hypergeom	0.362	1143.0
GO:0032757	Target_Hypergeom	0.37	1143.5
GO:0033077	Target_Hypergeom	0.408	1143.75
GO:0010575	Target_Hypergeom	0.417	1144.75
GO:0050927	Target_Hypergeom	0.299	1145.75
GO:0045656	Target_Hypergeom	0.23	1147.5
GO:0032469	Target_Hypergeom	0.334	1150.25
GO:0007166	Target_Hypergeom	0.33	1153.5
GO:0045668	Target_Hypergeom	0.339	1155.5
GO:0090630	Target_Hypergeom	0.353	1156.0
GO:0016055	Target_Hypergeom	0.331	1157.0
GO:0007566	Target_Hypergeom	0.381	1157.0
GO:0090263	Target_Hypergeom	0.34	1158.0
GO:0016311	Target_NonCentral	0.129	1160.0
GO:0006468	Target_NonCentral	0.082	1161.5
GO:0030857	Target_Hypergeom	0.342	1161.75
GO:0032735	Target_Hypergeom	0.399	1162.5
GO:0032733	Target_Hypergeom	0.374	1164.25
GO:1901224	Target_Hypergeom	0.37	1165.25
GO:0001649	Target_Hypergeom	0.332	1166.0
GO:0032869	Target_NonCentral	0.141	1167.0
GO:0032147	Target_Hypergeom	0.359	1170.25
GO:0051056	Target_NonCentral	0.18	1171.0
GO:0038083	Target_Hypergeom	0.346	1171.5
GO:0046677	Target_Hypergeom	0.413	1172.5
GO:0050796	Target_Hypergeom	0.372	1174.5
GO:0048538	Target_Hypergeom	0.358	1175.5
