annotation_id	typeOfAnalysis	p_times	ranking
hsa05200	Target_Hypergeom	1.0	1.0
hsa05202	TFs_Hypergeom	0.812	5.0
hsa05202	Target_Hypergeom	0.999	9.0
hsa04151	Target_Hypergeom	0.999	10.0
hsa04933	Target_Hypergeom	0.997	10.0
hsa05417	Target_Hypergeom	0.997	11.0
hsa05166	TFs_Hypergeom	0.645	13.0
hsa05205	Target_Hypergeom	1.0	13.0
hsa05166	Target_Hypergeom	0.995	13.0
hsa05200	TFs_Hypergeom	0.624	14.0
hsa05161	TFs_Hypergeom	0.621	16.0
hsa05215	Target_Hypergeom	1.0	16.0
hsa05222	Target_Hypergeom	0.999	20.0
hsa05169	Target_Hypergeom	0.983	21.0
hsa05161	Target_Hypergeom	0.995	21.0
hsa04066	Target_Hypergeom	0.996	22.0
hsa05207	TFs_Hypergeom	0.497	23.0
hsa04659	TFs_Hypergeom	0.459	23.0
hsa05163	Target_Hypergeom	0.997	24.0
hsa04115	Target_Hypergeom	0.981	25.0
hsa04218	Target_Hypergeom	0.995	25.0
hsa05219	Target_Hypergeom	0.997	26.0
hsa05167	Target_Hypergeom	0.99	28.0
hsa05418	Target_Hypergeom	0.993	28.0
hsa04950	TFs_Hypergeom	0.566	28.0
hsa05215	TFs_Hypergeom	0.374	28.0
hsa05162	Target_Hypergeom	0.957	29.0
hsa05212	Target_Hypergeom	0.995	29.0
hsa05221	TFs_Hypergeom	0.254	29.0
hsa04658	TFs_Hypergeom	0.331	31.75
hsa05167	TFs_Hypergeom	0.467	33.0
hsa04510	Target_Hypergeom	0.993	33.0
hsa04630	Target_Hypergeom	0.972	33.0
hsa05220	Target_Hypergeom	0.995	33.75
hsa05210	Target_Hypergeom	0.997	34.0
hsa04068	Target_Hypergeom	0.99	34.0
hsa04380	TFs_Hypergeom	0.408	34.0
hsa04110	Target_Hypergeom	0.963	35.0
hsa04210	Target_Hypergeom	0.971	35.0
hsa05225	Target_Hypergeom	0.993	35.0
hsa05321	TFs_Hypergeom	0.217	35.5
hsa04928	TFs_Hypergeom	0.336	36.0
hsa04668	Target_Hypergeom	0.951	36.0
hsa01522	Target_Hypergeom	0.998	36.0
hsa05321	Target_Hypergeom	0.928	37.0
hsa04010	Target_Hypergeom	0.987	38.0
hsa05165	Target_Hypergeom	0.991	39.0
hsa05142	Target_Hypergeom	0.953	40.0
hsa04218	TFs_Hypergeom	0.39	40.0
hsa05226	Target_Hypergeom	0.994	41.0
hsa04934	TFs_Hypergeom	0.365	41.0
hsa05220	TFs_Hypergeom	0.215	42.0
hsa04917	TFs_Hypergeom	0.188	42.0
hsa05224	TFs_Hypergeom	0.368	42.5
hsa04550	TFs_Hypergeom	0.356	43.0
hsa05223	Target_Hypergeom	0.986	46.0
hsa05203	TFs_Hypergeom	0.376	46.0
hsa05224	Target_Hypergeom	0.988	48.0
hsa05218	Target_Hypergeom	0.981	48.0
hsa05203	Target_Hypergeom	0.976	48.0
hsa05163	TFs_Hypergeom	0.317	48.0
hsa04659	Target_Hypergeom	0.949	48.25
hsa05169	TFs_Hypergeom	0.32	49.0
hsa05145	Target_Hypergeom	0.934	50.0
hsa01521	Target_Hypergeom	0.974	50.0
hsa05160	Target_Hypergeom	0.95	50.25
hsa05160	TFs_Hypergeom	0.324	50.75
hsa04915	TFs_Hypergeom	0.287	51.0
hsa04933	TFs_Hypergeom	0.207	51.0
hsa04211	TFs_Hypergeom	0.172	51.25
hsa05323	Target_Hypergeom	0.843	51.75
hsa05206	Target_Hypergeom	0.968	53.0
hsa05417	TFs_Hypergeom	0.292	53.0
hsa05212	TFs_Hypergeom	0.16	53.5
hsa05140	Target_Hypergeom	0.94	54.0
hsa05214	Target_Hypergeom	0.97	55.0
hsa05164	Target_Hypergeom	0.864	55.0
hsa04010	TFs_Hypergeom	0.173	56.0
hsa05213	Target_Hypergeom	0.992	57.0
hsa05235	TFs_Hypergeom	0.169	57.25
hsa04390	TFs_Hypergeom	0.287	57.25
hsa05221	Target_Hypergeom	0.978	58.0
hsa05135	Target_Hypergeom	0.963	58.0
hsa01524	Target_Hypergeom	0.94	58.0
hsa05165	TFs_Hypergeom	0.133	58.0
hsa04668	TFs_Hypergeom	0.204	58.5
hsa04350	TFs_Hypergeom	0.17	58.5
hsa04380	Target_Hypergeom	0.948	59.0
hsa04390	Target_Hypergeom	0.973	59.0
hsa05162	TFs_Hypergeom	0.239	60.5
hsa04064	Target_Hypergeom	0.869	61.0
hsa01522	TFs_Hypergeom	0.162	61.5
hsa04931	TFs_Hypergeom	0.206	61.5
hsa05226	TFs_Hypergeom	0.239	62.0
hsa05144	Target_Hypergeom	0.863	62.0
hsa05143	Target_Hypergeom	0.883	62.0
hsa04919	TFs_Hypergeom	0.201	62.0
hsa05225	TFs_Hypergeom	0.242	62.0
hsa04015	Target_Hypergeom	0.969	62.0
hsa04657	Target_Hypergeom	0.889	62.5
hsa05223	TFs_Hypergeom	0.145	62.75
hsa05131	Target_Hypergeom	0.981	63.0
hsa04935	TFs_Hypergeom	0.19	63.75
hsa04932	TFs_Hypergeom	0.219	64.0
hsa04625	TFs_Hypergeom	0.181	65.0
hsa05330	Target_Hypergeom	0.831	65.5
hsa04928	Target_Hypergeom	0.981	66.0
hsa04934	Target_Hypergeom	0.938	68.0
hsa04110	TFs_Hypergeom	0.154	68.0
hsa05216	Target_Hypergeom	0.978	69.5
hsa05222	TFs_Hypergeom	0.155	69.75
hsa05207	Target_Hypergeom	0.954	70.0
hsa05146	Target_Hypergeom	0.9	70.0
hsa04625	Target_Hypergeom	0.917	71.0
hsa04917	Target_Hypergeom	0.936	71.5
hsa04022	TFs_Hypergeom	0.216	72.0
hsa04931	Target_Hypergeom	0.917	73.0
hsa05152	Target_Hypergeom	0.832	74.0
hsa04310	TFs_Hypergeom	0.192	74.0
hsa04514	Target_NonCentral	0.254	76.0
hsa04658	Target_Hypergeom	0.856	77.0
hsa04152	Target_Hypergeom	0.916	77.0
hsa04520	Target_Hypergeom	0.932	77.0
hsa04660	Target_Hypergeom	0.887	78.0
hsa05165	Target_NonCentral	0.206	80.0
hsa04151	TFs_Hypergeom	0.054	82.0
hsa05210	TFs_Hypergeom	0.149	82.0
hsa05200	Target_NonCentral	0.252	82.0
hsa05133	Target_Hypergeom	0.812	83.75
hsa04015	Target_NonCentral	0.193	84.0
hsa04919	Target_Hypergeom	0.884	84.0
hsa04926	Target_Hypergeom	0.878	84.0
hsa04640	Target_Hypergeom	0.76	85.0
hsa04919	Target_NonCentral	0.191	88.0
hsa04151	Target_NonCentral	0.192	88.0
hsa05206	TFs_Hypergeom	0.05	88.0
hsa04060	Target_Hypergeom	0.708	90.0
hsa04620	Target_Hypergeom	0.782	90.0
hsa04024	TFs_Hypergeom	0.126	90.0
hsa04915	Target_Hypergeom	0.898	90.0
hsa05222	Target_NonCentral	0.227	91.0
hsa05166	Target_NonCentral	0.226	92.0
hsa04310	Target_Hypergeom	0.863	92.0
hsa04024	Target_NonCentral	0.14	93.0
hsa04913	Target_Hypergeom	0.816	93.5
hsa05152	TFs_Hypergeom	0.131	94.0
hsa05230	Target_Hypergeom	0.839	94.0
hsa05169	Target_NonCentral	0.259	94.5
hsa04510	Target_NonCentral	0.136	95.5
hsa05134	Target_Hypergeom	0.734	96.0
hsa04940	Target_Hypergeom	0.742	98.0
hsa04810	Target_NonCentral	0.125	99.0
hsa04670	Target_Hypergeom	0.833	100.0
hsa05211	Target_Hypergeom	0.82	100.0
hsa04072	Target_NonCentral	0.116	100.0
hsa05417	Target_NonCentral	0.223	101.0
hsa05221	Target_NonCentral	0.145	101.0
hsa05145	Target_NonCentral	0.2	101.5
hsa05215	Target_NonCentral	0.179	102.0
hsa04930	Target_NonCentral	0.142	102.0
hsa05130	Target_Hypergeom	0.82	102.0
hsa04072	Target_Hypergeom	0.813	103.0
hsa04010	Target_NonCentral	0.141	103.0
hsa04071	Target_Hypergeom	0.788	103.0
hsa04014	Target_Hypergeom	0.785	103.0
hsa04672	Target_Hypergeom	0.718	103.0
hsa05167	Target_NonCentral	0.201	104.0
hsa05203	Target_NonCentral	0.169	104.0
hsa04371	Target_Hypergeom	0.817	104.0
hsa04261	Target_NonCentral	0.122	105.0
hsa04211	Target_Hypergeom	0.753	107.25
hsa05416	Target_Hypergeom	0.768	108.0
hsa04935	Target_Hypergeom	0.806	108.0
hsa04932	Target_Hypergeom	0.726	108.0
hsa04930	Target_Hypergeom	0.756	108.0
hsa04810	Target_Hypergeom	0.789	108.0
hsa05235	Target_Hypergeom	0.744	108.75
hsa04152	Target_NonCentral	0.176	109.5
hsa05170	Target_Hypergeom	0.725	110.0
hsa05410	Target_Hypergeom	0.747	111.0
hsa04916	Target_NonCentral	0.135	111.0
hsa04664	Target_Hypergeom	0.759	111.0
hsa05205	TFs_Hypergeom	0.11	111.0
hsa04062	Target_Hypergeom	0.679	112.0
hsa05332	Target_Hypergeom	0.682	112.0
hsa04215	Target_Hypergeom	0.675	112.0
hsa05161	Target_NonCentral	0.157	113.0
hsa05310	Target_Hypergeom	0.662	113.0
hsa04390	Target_NonCentral	0.125	113.0
hsa04012	Target_Hypergeom	0.741	114.0
hsa04611	Target_Hypergeom	0.729	115.0
hsa04666	Target_NonCentral	0.162	115.0
hsa04979	Target_Hypergeom	0.62	116.0
hsa05235	Target_NonCentral	0.108	116.0
hsa04921	Target_Hypergeom	0.748	116.25
hsa04927	Target_Hypergeom	0.684	116.5
hsa04920	Target_Hypergeom	0.663	117.0
hsa04530	Target_Hypergeom	0.728	117.0
hsa04062	Target_NonCentral	0.166	117.0
hsa05100	Target_Hypergeom	0.717	118.0
hsa04310	Target_NonCentral	0.097	118.0
hsa04022	Target_NonCentral	0.128	118.5
hsa05016	TFs_Hypergeom	0.037	118.5
hsa04621	Target_Hypergeom	0.649	119.0
hsa04920	Target_NonCentral	0.137	119.0
hsa04370	Target_Hypergeom	0.718	119.0
hsa05320	Target_Hypergeom	0.63	119.5
hsa05412	Target_NonCentral	0.112	120.0
hsa04061	Target_Hypergeom	0.61	120.0
hsa05231	Target_NonCentral	0.084	120.0
hsa04911	Target_NonCentral	0.11	121.0
hsa04360	Target_NonCentral	0.145	121.0
hsa04934	Target_NonCentral	0.129	121.0
hsa04664	Target_NonCentral	0.106	121.0
hsa05230	Target_NonCentral	0.136	122.0
hsa04350	Target_Hypergeom	0.676	123.0
hsa01523	Target_Hypergeom	0.634	123.0
hsa04931	Target_NonCentral	0.121	123.0
hsa04024	Target_Hypergeom	0.645	124.0
hsa05132	Target_Hypergeom	0.633	124.0
hsa04512	Target_NonCentral	0.134	124.0
hsa04935	Target_NonCentral	0.076	124.0
hsa05160	Target_NonCentral	0.178	125.0
hsa05135	Target_NonCentral	0.101	125.0
hsa05162	Target_NonCentral	0.2	125.0
hsa05163	Target_NonCentral	0.08	125.0
hsa05202	Target_NonCentral	0.107	125.5
hsa04020	Target_Hypergeom	0.626	126.0
hsa05210	Target_NonCentral	0.137	126.0
hsa04658	Target_NonCentral	0.175	127.0
hsa05231	Target_Hypergeom	0.624	127.25
hsa04110	Target_NonCentral	0.256	127.5
hsa04150	Target_NonCentral	0.09	128.0
hsa05213	Target_NonCentral	0.113	128.0
hsa04014	Target_NonCentral	0.08	128.0
hsa04950	Target_NonCentral	0.13	128.0
hsa04650	Target_Hypergeom	0.604	128.5
hsa05134	Target_NonCentral	0.181	129.0
hsa04662	Target_Hypergeom	0.622	129.0
hsa04925	Target_Hypergeom	0.606	129.25
hsa05205	Target_NonCentral	0.068	129.5
