annotation_id	typeOfAnalysis	p_times	ranking
R-HSA-162582	Target_Hypergeom	0.957	6.0
R-HSA-6785807	Target_Hypergeom	0.852	8.75
R-HSA-449147	Target_Hypergeom	0.767	21.0
R-HSA-1280215	Target_Hypergeom	0.756	23.0
R-HSA-212436	TFs_Hypergeom	0.35	28.0
R-HSA-73857	TFs_Hypergeom	0.377	29.0
R-HSA-74160	TFs_Hypergeom	0.305	30.0
R-HSA-212436	Target_Hypergeom	0.744	38.0
R-HSA-9006934	Target_Hypergeom	0.802	39.5
R-HSA-1266738	TFs_Hypergeom	0.182	41.0
R-HSA-162582	TFs_Hypergeom	0.121	47.0
R-HSA-73857	Target_Hypergeom	0.688	58.0
R-HSA-74160	Target_Hypergeom	0.68	62.5
R-HSA-5663202	Target_Hypergeom	0.741	73.0
R-HSA-1280215	TFs_Hypergeom	0.182	73.0
R-HSA-9006931	Target_Hypergeom	0.735	75.0
R-HSA-2262752	TFs_Hypergeom	0.164	82.5
R-HSA-9659787	Target_Hypergeom	0.623	83.25
R-HSA-9661069	Target_Hypergeom	0.623	83.25
R-HSA-8953897	TFs_Hypergeom	0.164	84.0
R-HSA-8878159	Target_Hypergeom	0.708	85.0
R-HSA-9009391	Target_Hypergeom	0.641	87.75
R-HSA-168256	TFs_Hypergeom	0.027	89.0
R-HSA-8939211	Target_Hypergeom	0.67	91.5
R-HSA-449147	TFs_Hypergeom	0.133	97.0
R-HSA-392499	TFs_Hypergeom	0.026	97.0
R-HSA-109582	Target_Hypergeom	0.638	98.0
R-HSA-9634638	Target_Hypergeom	0.663	98.25
R-HSA-168256	Target_Hypergeom	0.609	100.0
R-HSA-8864260	Target_Hypergeom	0.622	108.0
R-HSA-1643685	Target_Hypergeom	0.614	112.0
R-HSA-69236	Target_Hypergeom	0.565	123.5
R-HSA-69231	Target_Hypergeom	0.565	123.5
R-HSA-9614085	Target_Hypergeom	0.581	131.5
R-HSA-9006925	Target_Hypergeom	0.565	133.5
R-HSA-1266738	Target_Hypergeom	0.601	135.0
R-HSA-1257604	Target_Hypergeom	0.554	138.5
R-HSA-2219528	Target_Hypergeom	0.551	140.0
R-HSA-76002	Target_Hypergeom	0.569	150.5
R-HSA-9006931	TFs_Hypergeom	0.115	152.25
R-HSA-1474244	Target_Hypergeom	0.512	155.5
R-HSA-194138	Target_Hypergeom	0.555	158.0
R-HSA-8878166	Target_Hypergeom	0.541	160.0
