annotation_id	typeOfAnalysis	p_times	ranking
WP5087	Target_Hypergeom	0.966	11.0
WP4659	Target_Hypergeom	0.987	14.0
WP3611	Target_Hypergeom	0.932	17.0
WP3646	Target_Hypergeom	0.944	21.0
WP2431	Target_Hypergeom	0.911	26.0
WP4172	Target_Hypergeom	0.888	28.0
WP710	Target_Hypergeom	0.939	29.0
WP2828	Target_Hypergeom	0.925	31.0
WP366	Target_Hypergeom	0.961	33.0
WP4754	Target_Hypergeom	0.831	33.0
WP236	TFs_Hypergeom	0.431	33.0
WP236	Target_Hypergeom	0.94	35.0
WP5094	Target_Hypergeom	0.924	35.0
WP615	Target_Hypergeom	0.895	36.0
WP3617	Target_Hypergeom	0.843	37.0
WP4658	Target_Hypergeom	0.908	37.25
WP2261	Target_Hypergeom	0.942	38.0
WP3624	Target_Hypergeom	0.803	42.25
WP4216	Target_Hypergeom	0.912	43.0
WP5055	Target_Hypergeom	0.811	43.5
WP2586	Target_Hypergeom	0.909	45.0
WP4674	Target_Hypergeom	0.919	45.5
WP4298	Target_Hypergeom	0.86	46.0
WP2882	Target_Hypergeom	0.855	47.0
WP1984	Target_Hypergeom	0.881	48.0
WP5098	Target_Hypergeom	0.862	50.0
WP3888	Target_Hypergeom	0.932	51.0
WP706	TFs_Hypergeom	0.356	51.25
WP4263	Target_Hypergeom	0.9	52.0
WP1971	Target_Hypergeom	0.876	52.0
WP4666	Target_Hypergeom	0.887	53.0
WP4149	TFs_Hypergeom	0.537	54.25
WP707	Target_Hypergeom	0.842	54.25
WP254	Target_Hypergeom	0.828	55.0
WP5115	Target_Hypergeom	0.761	55.0
WP4806	Target_Hypergeom	0.905	56.0
WP2374	Target_Hypergeom	0.843	56.75
WP306	Target_Hypergeom	0.906	58.0
WP170	TFs_Hypergeom	0.536	59.5
WP4155	Target_Hypergeom	0.907	59.75
WP1742	Target_Hypergeom	0.845	64.5
WP45	Target_Hypergeom	0.842	65.0
WP530	Target_Hypergeom	0.688	65.0
WP2864	Target_Hypergeom	0.831	68.0
WP3614	Target_Hypergeom	0.757	70.0
WP3932	Target_Hypergeom	0.788	73.0
